,symbols,ev_to_ebitda,roe,ebitda_rank,roe_rank,score,rank
43,TLS,8.44,0.3011,7.0,3.0,10.0,1.0
48,WOW,7.08,0.1974,4.0,7.0,11.0,2.0
24,MPL,8.16,0.2012,6.0,6.0,12.0,3.0
49,WPL,5.94,0.128,1.0,13.0,14.0,4.0
11,CCL,9.49,0.1397,9.0,10.0,19.0,5.0
2,AMC,13.65,0.38,21.5,2.0,23.5,6.0
9,BXB,12.94,0.2172,20.0,5.0,25.0,7.0
7,AZJ,7.97,0.0938,5.0,24.0,29.0,8.0
32,RHC,15.25,0.2343,26.0,4.0,30.0,9.5
22,LLC,11.22,0.1233,16.0,14.0,30.0,9.5
19,IAG,11.19,0.1178,15.0,16.0,31.0,11.5
6,ASX,10.44,0.1071,13.0,18.0,31.0,11.5
13,CSL,25.83,0.4668,34.0,1.0,35.0,13.0
36,SEK,16.94,0.1928,28.0,8.0,36.0,14.5
8,BHP,6.03,0.0563,2.0,34.0,36.0,14.5
12,CPU,14.36,0.1287,25.0,12.0,37.0,16.0
33,RIO,6.91,0.0556,3.0,35.0,38.0,17.5
30,OSH,9.83,0.0865,11.0,27.0,38.0,17.5
38,SHL,13.65,0.11,21.5,17.0,38.5,19.0
46,WES,11.43,0.0961,17.0,22.0,39.0,20.0
